habitaciones,antiguedad,distancia_centro,precio
3,37,9.6,9.9
7,90,11.7,21.3
6,50,6.5,25.8
5,70,2.6,21.0
5,46,1.2,22.8
8,27,3.5,39.7
3,76,2.5,13.5
7,96,8.5,24.5
4,27,2.3,24.5
3,78,6.6,9.6
6,26,8.6,26.1
8,71,7.4,31.9
7,79,3.2,32.4
7,45,9.8,24.7
7,73,8.9,24.6
7,27,9.1,28.8
6,8,2.4,35.1
3,10,2.4,19.0
8,45,11.2,30.0
5,90,5.4,18.3
6,13,4.3,30.6
5,46,6.4,22.8
4,70,8.3,8.5
8,21,11.5,27.9
7,72,4.2,27.7
6,31,11.2,16.4
5,81,1.3,23.1
7,58,7.1,29.8
6,55,8.0,22.4
5,18,2.2,28.8
5,46,2.5,28.0
4,85,5.6,17.1
3,2,11.6,9.3
6,76,7.6,24.5
8,49,11.3,28.7
3,72,9.8,4.3
8,66,6.1,32.2
7,43,9.6,23.6
4,31,1.2,22.3
6,63,2.2,28.6
3,14,10.1,11.9
7,58,9.8,28.5
7,10,3.6,33.6
5,65,6.8,19.9
3,63,7.7,7.1
8,9,10.5,33.6
5,75,7.6,17.1
8,42,5.5,32.4
7,78,5.1,31.0
7,5,5.7,33.0
7,18,8.2,29.2
4,49,10.5,9.3
5,19,6.0,22.5
5,33,3.7,26.3
5,66,3.6,22.5
3,15,9.2,11.9
6,68,10.0,20.3
3,11,2.2,22.6
7,18,1.7,37.3
7,59,7.5,24.8
8,79,2.6,38.7
7,17,10.1,27.4
5,30,4.4,27.0
8,92,2.6,36.3
5,98,11.1,11.1
4,58,2.8,20.7
8,45,4.1,41.4
5,35,2.7,30.6
3,61,2.3,16.0
5,59,1.2,26.7
7,30,1.6,39.3
4,3,2.9,22.6
5,15,1.6,30.0
3,95,7.5,6.8
7,42,8.5,28.6
5,48,5.3,20.6
4,47,4.5,15.7
4,78,6.5,9.8
6,7,10.6,21.5
7,9,10.4,27.4
8,28,1.5,41.4
5,49,3.0,28.9
3,67,3.6,16.0
7,49,3.7,31.2
6,44,7.3,25.4
7,93,5.6,26.5
3,16,1.5,19.9
4,57,5.1,17.7
7,54,6.8,30.3
7,47,2.1,34.5
5,80,10.2,16.0
7,27,1.6,35.1
8,95,11.2,25.0
5,33,2.1,32.5
8,54,10.3,29.8
4,52,10.9,13.6
4,85,11.8,7.2
7,44,9.8,27.4
6,29,9.6,23.0
3,3,8.1,13.2
7,37,9.6,25.5
4,82,2.5,19.3
7,1,6.9,31.4
3,89,6.7,9.7
7,54,10.4,26.9
7,14,6.1,33.8
7,30,5.2,32.3
6,55,8.0,23.9
5,32,3.9,24.6
7,11,2.5,39.5
4,66,6.3,11.5
7,67,5.6,28.7
6,12,3.6,27.7
5,28,5.0,21.3
6,25,5.0,31.7
6,66,4.6,28.0
3,73,5.2,10.0
3,72,8.5,4.5
4,93,4.3,9.5
3,77,11.4,2.6
5,32,11.1,21.5
7,11,6.3,33.9
6,61,4.6,25.5
5,91,6.9,17.9
8,97,10.3,22.8
6,23,8.2,24.7
3,24,9.8,10.0
7,4,6.9,32.7
6,14,8.0,27.9
6,55,4.2,28.2
6,55,9.1,23.0
6,37,3.2,28.8
3,31,8.6,12.5
6,83,10.5,21.0
7,46,2.5,32.9
4,81,7.8,10.4
6,96,2.0,29.6
3,32,9.0,9.8
5,21,1.9,31.3
5,95,11.3,10.5
8,63,2.5,40.9
4,29,11.5,12.1
4,62,9.8,11.8
5,51,7.5,22.5
8,90,9.6,26.6
8,26,9.7,30.4
3,99,11.4,1.0
4,93,3.8,16.9
7,18,7.5,27.9
3,17,2.0,21.0
8,53,7.8,31.3
4,5,2.9,26.4
8,30,7.2,30.2
4,44,7.3,14.1
5,96,6.1,14.1
6,99,6.7,19.4
3,16,9.4,11.4
6,89,9.8,17.8
6,10,6.4,28.0
7,75,7.6,26.1
8,84,11.2,26.2
6,89,2.3,25.1
5,23,2.3,29.3
5,89,2.0,24.3
5,12,8.2,22.5
7,52,5.6,31.7
4,47,9.5,13.4
4,32,8.4,19.4
5,3,4.7,26.4
3,77,10.9,3.6
3,34,9.4,8.0
3,66,4.0,11.4
7,41,5.0,29.7
7,37,4.5,31.4
7,88,2.7,31.1
5,10,2.6,29.2
7,73,11.3,22.2
3,74,5.8,9.1
8,38,5.2,38.5
6,26,9.0,25.6
8,1,7.1,37.1
3,93,11.3,1.2
5,94,9.6,14.6
7,24,6.3,32.4
5,4,5.1,23.2
5,13,11.9,17.0
3,7,8.9,12.8
5,83,11.5,10.3
4,89,2.3,18.5
4,16,10.4,11.3
7,74,8.0,28.7
6,18,2.3,35.3
6,37,7.5,24.5
5,60,8.5,18.2
8,72,1.1,34.1
3,87,6.0,7.0
5,5,10.1,19.4
3,20,4.2,14.7
5,28,6.0,24.5
8,31,5.9,40.4
